version 4841
stamp 2022-02-28T19:09:25.840102+0000
last_osdmap_epoch 0
last_pg_scan 0
PG_STAT  OBJECTS  MISSING_ON_PRIMARY  DEGRADED  MISPLACED  UNFOUND  BYTES     OMAP_BYTES*  OMAP_KEYS*  LOG  DISK_LOG  STATE              STATE_STAMP                      VERSION  REPORTED  UP             UP_PRIMARY  ACTING         ACTING_PRIMARY  LAST_SCRUB  SCRUB_STAMP                      LAST_DEEP_SCRUB  DEEP_SCRUB_STAMP                 SNAPTRIMQ_LEN
5.b9           0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:04:10.329022+0000    482'5    556:49      [6,11,12]           6      [6,11,12]               6         0'0  2022-02-28T16:31:11.883810+0000              0'0  2022-02-28T16:31:11.883810+0000              0
3.bf           0                   0         0          0        0         0            0           0    9         9       active+clean  2022-02-28T19:03:06.756519+0000    482'9    556:46   [20,19,9,12]          20   [20,19,9,12]              20       482'9  2022-02-28T16:33:31.857067+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.b8           0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:03:04.320260+0000    482'2   556:370      [9,20,12]           9      [9,20,12]               9       482'2  2022-02-28T16:41:58.862600+0000              0'0  2022-02-24T19:00:23.423432+0000              0
6.bb           0                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:04:17.300826+0000    473'3    556:34      [10,7,13]          10      [10,7,13]              10       473'3  2022-02-28T16:46:12.265233+0000            328'2  2022-02-24T23:40:01.820709+0000              0
5.b8           0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:03:20.527150+0000    482'2    556:53       [16,9,6]          16       [16,9,6]              16       482'2  2022-02-28T16:45:54.246435+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.be           0                   0         0          0        0         0            0           0   11        11       active+clean  2022-02-28T19:04:11.893055+0000   482'11    556:33    [11,19,6,9]          11    [11,19,6,9]              11      482'11  2022-02-28T16:36:12.021901+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.b9           0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:03:04.059515+0000    482'5    556:44      [18,8,12]          18      [18,8,12]              18       482'5  2022-02-28T16:37:59.312869+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.b8           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:20.738742+0000      0'0   556:224      [12,6,16]          12      [12,6,16]              12         0'0  2022-02-28T16:37:31.998065+0000              0'0  2022-02-28T16:37:31.998065+0000              0
5.bb           0                   0         0          0        0         0            0           0    8         8       active+clean  2022-02-28T19:04:09.834148+0000    482'8    556:47      [7,10,12]           7      [7,10,12]               7       482'8  2022-02-28T16:33:57.642101+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.bd           0                   0         0          0        0         0            0           0    8         8       active+clean  2022-02-28T19:04:10.495950+0000    482'8   556:555    [12,6,10,8]          12    [12,6,10,8]              12       482'8  2022-02-28T16:32:09.566674+0000            482'8  2022-02-28T16:32:09.566674+0000              0
4.ba           0                   0         0          0        0         0            0           0    1         1       active+clean  2022-02-28T19:03:20.932351+0000    482'1    556:53       [19,9,6]          19       [19,9,6]              19       482'1  2022-02-28T16:37:14.952318+0000              0'0  2022-02-24T19:06:48.027637+0000              0
6.b9           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:28.602375+0000      0'0    556:40       [6,8,12]           6       [6,8,12]               6         0'0  2022-02-28T16:35:40.195546+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.ba           0                   0         0          0        0         0            0           0    1         1       active+clean  2022-02-28T19:06:40.537773+0000    482'1    556:23     [12,18,17]          12     [12,18,17]              12         0'0  2022-02-28T16:31:29.899427+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.bc           0                   0         0          0        0         0            0           0   12        12       active+clean  2022-02-28T19:03:21.699626+0000   482'12    556:39    [7,9,13,21]           7    [7,9,13,21]               7      482'12  2022-02-28T16:32:49.196887+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.bb           0                   0         0          0        0         0            0           0    7         7       active+clean  2022-02-28T19:04:10.333239+0000    482'7    556:49      [6,11,14]           6      [6,11,14]               6       482'7  2022-02-28T16:44:40.524823+0000            482'7  2022-02-28T16:44:40.524823+0000              0
6.be           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:20.354813+0000      0'0    556:38       [7,9,12]           7       [7,9,12]               7         0'0  2022-02-28T16:35:35.466341+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.bd           0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:03:21.056764+0000    482'2    556:38      [6,18,17]           6      [6,18,17]               6       482'2  2022-02-28T16:32:34.924087+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.bb           0                   0         0          0        0         0            0           0   10        10       active+clean  2022-02-28T19:04:11.174432+0000   482'10    556:56   [14,19,10,8]          14   [14,19,10,8]              14      482'10  2022-02-28T16:32:18.673084+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.bc           0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:04:10.446154+0000    482'5    556:53     [20,13,10]          20     [20,13,10]              20       482'5  2022-02-28T16:36:20.103523+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.bf           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:12.447527+0000      0'0   556:210      [8,18,11]           8      [8,18,11]               8         0'0  2022-02-28T16:34:08.737275+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.bc           0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:04:11.096442+0000    482'5    556:53     [18,21,11]          18     [18,21,11]              18       482'5  2022-02-28T16:43:43.244545+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.ba           0                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:04:12.445493+0000    482'4   556:500   [9,21,18,11]           9   [9,21,18,11]               9       482'4  2022-02-28T16:35:26.565974+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.bd           0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:04:11.090789+0000    482'2    556:62     [18,11,21]          18     [18,11,21]              18       482'2  2022-02-28T16:41:38.462649+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.bc           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:20.351341+0000      0'0   556:353       [8,7,12]           8       [8,7,12]               8         0'0  2022-02-28T16:38:08.833216+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.bf           0                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:03:20.876197+0000    482'3   556:202       [8,21,6]           8       [8,21,6]               8       482'3  2022-02-28T16:31:37.875847+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.b9           0                   0         0          0        0         0            0           0   12        12       active+clean  2022-02-28T19:03:21.121091+0000   482'12    556:39    [7,8,12,20]           7    [7,8,12,20]               7      482'12  2022-02-28T16:37:31.020732+0000           482'12  2022-02-28T16:37:31.020732+0000              0
4.be           0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:04:10.762832+0000    482'2    556:53      [14,8,11]          14      [14,8,11]              14       482'2  2022-02-28T16:46:28.080612+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.bd           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.763160+0000      0'0   556:347      [8,11,13]           8      [8,11,13]               8         0'0  2022-02-28T16:42:25.982384+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.be           0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:03:20.870883+0000    482'2   556:354       [0,21,6]           0       [0,21,6]               0       482'2  2022-02-28T16:32:24.901348+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.b8           0                   0         0          0        0         0            0           0    7         7       active+clean  2022-02-28T19:03:20.932252+0000    482'7   556:343    [19,20,7,9]          19    [19,20,7,9]              19       482'7  2022-02-28T16:40:38.826415+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.bf           0                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:03:20.785811+0000    482'3    556:53       [18,8,7]          18       [18,8,7]              18       482'3  2022-02-28T16:39:03.836110+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.b2           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.769730+0000      0'0    556:32      [10,8,14]          10      [10,8,14]              10         0'0  2022-02-28T16:42:37.091440+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.b1           0                   0         0          0        0         0            0           0    1         1       active+clean  2022-02-28T19:03:04.753825+0000    482'1   556:143      [13,8,19]          13      [13,8,19]              13         0'0  2022-02-28T16:31:20.993073+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.b7           0                   0         0          0        0         0            0           0    7         7       active+clean  2022-02-28T19:04:09.817508+0000    482'7    556:66    [18,5,12,0]          18    [18,5,12,0]              18       482'7  2022-02-28T16:35:52.077671+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.b0           2                   0         0          0        0         0            0           0    6         6       active+clean  2022-02-28T19:03:21.602115+0000    482'6   556:416       [9,6,18]           9       [9,6,18]               9       482'6  2022-02-28T16:44:08.957968+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.b3           1                   0         0          0        0         0            0           0    1         1       active+clean  2022-02-28T19:03:22.804733+0000    261'1    556:42       [7,9,20]           7       [7,9,20]               7       261'1  2022-02-28T16:32:36.181775+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.b0           2                   0         0          0        0         0            0           0    6         6       active+clean  2022-02-28T19:04:08.993087+0000    482'6    556:38       [10,9,6]          10       [10,9,6]              10       482'6  2022-02-28T16:34:52.504834+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.b6           0                   0         0          0        0         0            0           0   11        11       active+clean  2022-02-28T19:03:06.569707+0000   482'11   556:300   [19,12,8,16]          19   [19,12,8,16]              19      482'11  2022-02-28T16:36:45.950558+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.b1           0                   0         0          0        0         0            0           0    1         1       active+clean  2022-02-28T19:04:11.180519+0000    482'1   556:171     [19,20,11]          19     [19,20,11]              19       482'1  2022-02-28T16:41:30.640354+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.b0           2                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:04:11.021068+0000    261'4    556:38     [11,13,16]          11     [11,13,16]              11       261'4  2022-02-28T16:40:36.759748+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.b3           1                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:03:09.595990+0000    482'4   556:354      [9,19,18]           9      [9,19,18]               9       482'4  2022-02-28T16:34:40.485541+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.b5           0                   0         0          0        0         0            0           0   13        13       active+clean  2022-02-28T19:03:20.267299+0000   482'13    556:89    [15,13,7,0]          15    [15,13,7,0]              15      482'13  2022-02-28T16:35:05.168560+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.b2           1                   0         0          0        0         6            0           0    7         7       active+clean  2022-02-28T19:03:22.786501+0000    482'7    556:42       [7,21,9]           7       [7,21,9]               7       482'7  2022-02-28T16:39:47.890610+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.b1           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:20.341871+0000      0'0    556:38        [7,9,4]           7        [7,9,4]               7         0'0  2022-02-28T16:32:26.317682+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.b2           0                   0         0          0        0         0            0           0    7         7       active+clean  2022-02-28T19:04:10.314653+0000    482'7   556:154       [9,7,11]           9       [9,7,11]               9       482'7  2022-02-28T16:40:25.762703+0000            482'7  2022-02-28T16:40:25.762703+0000              0
3.b4           0                   0         0          0        0         0            0           0   15        15       active+clean  2022-02-28T19:04:10.810044+0000   482'15    556:66    [20,10,6,8]          20    [20,10,6,8]              20      482'15  2022-02-28T16:36:38.789949+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.b3           1                   0         0          0        0         0         4880          10    5         5       active+clean  2022-02-28T19:04:17.676669+0000    482'5    556:73      [18,8,10]          18      [18,8,10]              18       482'5  2022-02-28T16:41:28.935541+0000            482'5  2022-02-28T16:41:28.935541+0000              0
6.b6           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.325277+0000      0'0   556:424      [12,11,7]          12      [12,11,7]              12         0'0  2022-02-28T16:45:36.776283+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.b5           0                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:03:04.868663+0000    482'3   556:130      [8,20,13]           8      [8,20,13]               8       482'3  2022-02-28T16:34:01.644319+0000            482'3  2022-02-28T16:34:01.644319+0000              0
3.b3           0                   0         0          0        0         0            0           0    8         8       active+clean  2022-02-28T19:04:09.166018+0000    482'8    556:49   [3,10,21,12]           3   [3,10,21,12]               3       482'8  2022-02-28T16:32:14.888643+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.b4           0                   0         0          0        0         0            0           0    6         6       active+clean  2022-02-28T19:03:08.254581+0000    482'6   556:387      [9,21,13]           9      [9,21,13]               9       482'6  2022-02-28T16:41:36.881815+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.b7           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.757324+0000      0'0   556:238       [1,8,11]           1       [1,8,11]               1         0'0  2022-02-28T16:31:25.094681+0000              0'0  2022-02-28T16:31:25.094681+0000              0
5.b4           0                   0         0          0        0         0            0           0    6         6       active+clean  2022-02-28T19:03:04.871073+0000    482'6    556:43      [20,12,9]          20      [20,12,9]              20       482'6  2022-02-28T16:33:58.710395+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.b2           0                   0         0          0        0         0            0           0   19        19       active+clean  2022-02-28T19:03:20.874140+0000   482'19   556:402    [8,7,21,12]           8    [8,7,21,12]               8      482'19  2022-02-28T16:32:26.904650+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.b5           0                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:04:11.090864+0000    482'3    556:62      [18,3,11]          18      [18,3,11]              18       482'3  2022-02-28T16:34:55.083376+0000            482'3  2022-02-28T16:34:55.083376+0000              0
6.b4           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:12.237413+0000      0'0   556:261     [12,19,10]          12     [12,19,10]              12         0'0  2022-02-28T16:45:09.582448+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.b7           0                   0         0          0        0         0            0           0    1         1       active+clean  2022-02-28T19:04:11.618519+0000    482'1    556:32     [11,21,13]          11     [11,21,13]              11       482'1  2022-02-28T16:37:29.972428+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.b1           0                   0         0          0        0         0            0           0    6         6       active+clean  2022-02-28T19:04:10.345233+0000    482'6    556:61   [21,11,12,7]          21   [21,11,12,7]              21       482'6  2022-02-28T16:39:11.862751+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.b6           0                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:03:21.302443+0000    482'4    556:38       [7,9,20]           7       [7,9,20]               7       482'4  2022-02-28T16:40:23.797480+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.b5           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:20.715476+0000      0'0   556:357       [8,6,14]           8       [8,6,14]               8         0'0  2022-02-28T16:42:10.817582+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.b6           0                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:03:07.241545+0000    482'4   556:175      [8,18,13]           8      [8,18,13]               8       482'4  2022-02-28T16:32:03.819826+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.b0           0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:04:09.825628+0000    482'5    556:33   [10,18,9,13]          10   [10,18,9,13]              10       482'5  2022-02-28T16:43:11.857993+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.b7           0                   0         0          0        0         0            0           0    1         1       active+clean  2022-02-28T19:04:10.347007+0000    482'1    556:60      [21,7,11]          21      [21,7,11]              21       482'1  2022-02-28T16:44:28.520871+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.aa           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:20.670037+0000      0'0    556:53      [20,21,7]          20      [20,21,7]              20         0'0  2022-02-28T16:31:59.115916+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.a9           0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:04:12.446269+0000    482'5   556:217     [13,11,18]          13     [13,11,18]              13       482'5  2022-02-28T16:40:57.668904+0000            482'5  2022-02-28T16:40:57.668904+0000              0
3.af           0                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:04:10.622082+0000    482'3   556:224    [0,7,11,20]           0    [0,7,11,20]               0       482'3  2022-02-28T16:32:53.981403+0000            482'3  2022-02-28T16:32:53.981403+0000              0
4.a8           0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:05:40.013185+0000    482'5    556:26       [3,9,18]           3       [3,9,18]               3       482'5  2022-02-28T16:33:43.634811+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.ab           0                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:04:10.330622+0000    473'3    556:47      [7,11,12]           7      [7,11,12]               7       473'3  2022-02-28T16:45:24.225707+0000            473'3  2022-02-28T16:45:24.225707+0000              0
5.a8           0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:04:10.491559+0000    482'5   556:293      [21,10,8]          21      [21,10,8]              21       482'5  2022-02-28T16:39:27.009967+0000              0'0  2022-02-24T19:02:42.058942+0000              0
3.ae           0                   0         0          0        0         0            0           0   13        13       active+clean  2022-02-28T19:04:10.619409+0000   482'13   556:492   [13,21,11,6]          13   [13,21,11,6]              13      482'13  2022-02-28T16:36:25.052701+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.a9           0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:04:10.486614+0000    482'5    556:47       [6,10,8]           6       [6,10,8]               6       482'5  2022-02-28T16:39:28.740157+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.a8           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.211868+0000      0'0   556:401      [0,11,13]           0      [0,11,13]               0         0'0  2022-02-28T16:31:02.961845+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.ab           0                   0         0          0        0         0            0           0    8         8       active+clean  2022-02-28T19:04:09.994026+0000    482'8    556:49      [6,10,18]           6      [6,10,18]               6       482'8  2022-02-28T16:38:39.901350+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.ad           0                   0         0          0        0         0            0           0    8         8       active+clean  2022-02-28T19:04:10.505550+0000    482'8    556:66   [18,10,13,8]          18   [18,10,13,8]              18       482'8  2022-02-28T16:34:34.369631+0000            482'8  2022-02-28T16:34:34.369631+0000              0
4.aa           0                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:03:20.950179+0000    482'3    556:53       [20,9,6]          20       [20,9,6]              20       482'3  2022-02-28T16:36:35.884326+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.a9           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:08.986768+0000      0'0   556:242      [13,4,10]          13      [13,4,10]              13         0'0  2022-02-28T16:41:52.551460+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.aa           0                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:04:11.618381+0000    482'3    556:32      [11,21,6]          11      [11,21,6]              11       482'3  2022-02-28T16:44:20.018226+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.ac           0                   0         0          0        0         0            0           0   14        14       active+clean  2022-02-28T19:03:08.777837+0000   482'14   556:211   [12,21,18,8]          12   [12,21,18,8]              12      482'14  2022-02-28T16:37:36.058785+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.ab           0                   0         0          0        0         0            0           0    8         8       active+clean  2022-02-28T19:04:10.771950+0000    482'8   556:368      [8,12,10]           8      [8,12,10]               8       482'8  2022-02-28T16:35:43.131044+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.ae           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:06.826363+0000      0'0   556:387      [13,8,21]          13      [13,8,21]              13         0'0  2022-02-28T16:37:07.855806+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.ad           1                   0         0          0        0        70            0           0    3         3       active+clean  2022-02-28T19:04:17.794185+0000    482'3    556:61      [20,11,9]          20      [20,11,9]              20       482'3  2022-02-28T16:44:15.468465+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.ab           0                   0         0          0        0         0            0           0   16        16       active+clean  2022-02-28T19:03:21.209268+0000   482'16    556:39    [6,9,20,19]           6    [6,9,20,19]               6      482'16  2022-02-28T16:39:00.957101+0000           482'16  2022-02-28T16:39:00.957101+0000              0
4.ac           0                   0         0          0        0         0            0           0    6         6       active+clean  2022-02-28T19:03:21.207318+0000    482'6    556:38      [7,18,19]           7      [7,18,19]               7       482'6  2022-02-28T16:38:41.310358+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.af           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.758242+0000      0'0    556:62       [4,11,8]           4       [4,11,8]               4         0'0  2022-02-28T16:32:34.229070+0000              0'0  2022-02-28T16:32:34.229070+0000              0
5.ac           0                   0         0          0        0         0            0           0    6         6       active+clean  2022-02-28T19:04:10.312682+0000    482'6    556:47       [7,11,4]           7       [7,11,4]               7       482'6  2022-02-28T16:43:35.282306+0000            482'6  2022-02-28T16:43:35.282306+0000              0
3.aa           0                   0         0          0        0         0            0           0    7         7       active+clean  2022-02-28T19:04:10.440858+0000    482'7   556:226   [13,9,10,20]          13   [13,9,10,20]              13       482'7  2022-02-28T16:37:01.801496+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.ad           1                   0         0          0        0        70            0           0    3         3       active+clean  2022-02-28T19:04:10.363719+0000    482'3   556:278      [13,7,11]          13      [13,7,11]              13       482'3  2022-02-28T16:34:38.137814+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.ac           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:21.121719+0000      0'0    556:38       [7,20,9]           7       [7,20,9]               7         0'0  2022-02-28T16:31:57.155133+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.af           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:11.168877+0000      0'0    556:32     [10,20,19]          10     [10,20,19]              10         0'0  2022-02-28T16:33:28.933293+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.a9           0                   0         0          0        0         0            0           0   15        15       active+clean  2022-02-28T19:04:11.090800+0000   482'15    556:66    [18,6,11,8]          18    [18,6,11,8]              18      482'15  2022-02-28T16:38:31.889528+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.ae           0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:04:10.760984+0000    482'5    556:47       [6,8,11]           6       [6,8,11]               6       482'5  2022-02-28T16:31:57.173822+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.ad           1                   0         0          0        0        70            0           0    1         1       active+clean  2022-02-28T19:04:17.612500+0000    261'1   556:229      [8,13,11]           8      [8,13,11]               8       261'1  2022-02-28T16:31:31.952372+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.ae           0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:04:23.214922+0000    482'5    556:34      [11,19,6]          11      [11,19,6]              11       482'5  2022-02-28T16:38:08.871921+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.a8           0                   0         0          0        0         0            0           0   16        16       active+clean  2022-02-28T19:04:09.817033+0000   482'16    556:66   [18,7,10,13]          18   [18,7,10,13]              18      482'16  2022-02-28T16:34:22.583300+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.af           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:09.827016+0000      0'0    556:32      [10,1,18]          10      [10,1,18]              10         0'0  2022-02-28T16:46:00.759466+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.a2           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:09.166339+0000      0'0    556:49      [6,10,21]           6      [6,10,21]               6         0'0  2022-02-28T16:44:46.651478+0000              0'0  2022-02-23T17:14:19.618385+0000              0
3.a7           0                   0         0          0        0         0            0           0   11        11       active+clean  2022-02-28T19:03:20.678747+0000   482'11    556:56    [20,8,13,7]          20    [20,8,13,7]              20      482'11  2022-02-28T16:32:42.991596+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.a0           0                   0         0          0        0         0            0           0    7         7       active+clean  2022-02-28T19:03:04.758839+0000    482'7   556:244      [9,19,12]           9      [9,19,12]               9       482'7  2022-02-28T16:40:41.734631+0000              0'0  2022-02-23T17:10:21.806214+0000              0
5.a1           0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:03:20.948087+0000    482'2    556:53       [20,6,9]          20       [20,6,9]              20       482'2  2022-02-28T16:37:16.941009+0000              0'0  2022-02-23T17:13:31.371583+0000              0
6.a3           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:04.064269+0000      0'0   556:220      [12,16,9]          12      [12,16,9]              12         0'0  2022-02-28T16:31:29.705001+0000              0'0  2022-02-28T16:31:29.705001+0000              0
3.a6           0                   0         0          0        0         0            0           0   22        22       active+clean  2022-02-28T19:04:10.441542+0000   482'22   556:374   [21,10,7,20]          21   [21,10,7,20]              21      482'22  2022-02-28T16:35:45.365526+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.a1           0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:03:21.123940+0000    482'2    556:38      [6,20,12]           6      [6,20,12]               6       482'2  2022-02-28T16:31:49.232630+0000              0'0  2022-02-23T17:10:21.806214+0000              0
5.a0           0                   0         0          0        0         0            0           0    7         7       active+clean  2022-02-28T19:04:09.166398+0000    482'7    556:32     [10,21,13]          10     [10,21,13]              10       482'7  2022-02-28T16:39:47.772332+0000              0'0  2022-02-23T17:13:31.371583+0000              0
6.a0           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:08.255671+0000      0'0    556:42     [21,18,12]          21     [21,18,12]              21         0'0  2022-02-28T16:42:48.139824+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.a3           0                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:03:20.604055+0000    482'4   556:183       [21,8,7]          21       [21,8,7]              21       482'4  2022-02-28T16:32:31.882534+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.a5           0                   0         0          0        0         0            0           0    9         9       active+clean  2022-02-28T19:04:10.496260+0000    482'9    556:49    [7,8,10,18]           7    [7,8,10,18]               7       482'9  2022-02-28T16:35:31.528897+0000            482'9  2022-02-28T16:35:31.528897+0000              0
4.a2           0                   0         0          0        0         0            0           0    6         6       active+clean  2022-02-28T19:04:10.618282+0000    482'6   556:267     [12,21,11]          12     [12,21,11]              12       482'6  2022-02-28T16:42:38.093868+0000              0'0  2022-02-24T19:03:16.105476+0000              0
6.a1           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:11.189353+0000      0'0    556:47       [6,19,5]           6       [6,19,5]               6         0'0  2022-02-28T16:43:41.265393+0000              0'0  2022-02-23T17:14:19.618385+0000              0
