version 4841
stamp 2022-02-28T19:09:25.840102+0000
last_osdmap_epoch 0
last_pg_scan 0
PG_STAT  OBJECTS  MISSING_ON_PRIMARY  DEGRADED  MISPLACED  UNFOUND  BYTES     OMAP_BYTES*  OMAP_KEYS*  LOG  DISK_LOG  STATE              STATE_STAMP                      VERSION  REPORTED  UP             UP_PRIMARY  ACTING         ACTING_PRIMARY  LAST_SCRUB  SCRUB_STAMP                      LAST_DEEP_SCRUB  DEEP_SCRUB_STAMP                 SNAPTRIMQ_LEN
4.fd           0                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:03:31.437617+0000    482'3    556:40       [6,9,21]           6       [6,9,21]               6       482'3  2022-02-28T16:33:48.643284+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.fc           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:08.965700+0000      0'0   556:352      [9,13,10]           9      [9,13,10]               9         0'0  2022-02-28T16:37:25.399501+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.ff           1                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:04:17.791608+0000    482'4    556:71     [21,18,11]          21     [21,18,11]              21       482'4  2022-02-28T16:39:26.871319+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.f9           0                   0         0          0        0         0            0           0   17        17       active+clean  2022-02-28T19:04:11.181891+0000   482'17    556:33  [10,19,18,13]          10  [10,19,18,13]              10      482'17  2022-02-28T16:32:45.811559+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.fe           0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:03:06.569089+0000    482'2    556:44      [19,8,13]          19      [19,8,13]              19       482'2  2022-02-28T16:40:00.010280+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.fd           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:11.167027+0000      0'0   556:144      [9,10,19]           9      [9,10,19]               9         0'0  2022-02-28T16:36:23.875342+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.fe           0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:03:20.271555+0000    482'2   556:144       [9,7,12]           9       [9,7,12]               9       482'2  2022-02-28T16:45:57.138486+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.f8           0                   0         0          0        0         0            0           0    9         9       active+clean  2022-02-28T19:04:17.058076+0000    482'9    556:33   [11,9,12,20]          11   [11,9,12,20]              11       482'9  2022-02-28T16:35:57.062690+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.ff           1                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:03:29.126187+0000    482'4    556:57      [20,12,7]          20      [20,12,7]              20       482'4  2022-02-28T16:42:28.158156+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.f2           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.441186+0000      0'0   556:189      [9,20,10]           9      [9,20,10]               9         0'0  2022-02-28T16:43:26.812151+0000              0'0  2022-02-28T16:43:26.812151+0000              0
5.f1           0                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:04:12.445647+0000    482'4   556:349      [8,18,10]           8      [8,18,10]               8       482'4  2022-02-28T16:33:29.960145+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.f7           0                   0         0          0        0         0            0           0   11        11       active+clean  2022-02-28T19:04:11.893114+0000   482'11    556:33   [11,19,9,13]          11   [11,19,9,13]              11       329'3  2022-02-28T16:31:19.136687+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.f0           0                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:04:08.949842+0000    482'3    556:32       [5,0,13]           5       [5,0,13]               5       482'3  2022-02-28T16:39:58.805108+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.f3           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.990411+0000      0'0    556:32       [11,7,1]          11       [11,7,1]              11         0'0  2022-02-28T16:35:54.147412+0000              0'0  2022-02-28T16:35:54.147412+0000              0
